id,primary_name,count_current_type,count_backfile_type,deposits_references_current,deposits_references_backfile,references_current_type,references_backfile_type
297,Springer Science and Business Media LLC,606648,5504749,TRUE,TRUE,0.8340421463517559,0.6631047119496275
286,Oxford University Press (OUP),344458,618552,TRUE,TRUE,0.08075875723600555,0.0745919502321551
301,Informa UK Limited,305638,1911450,TRUE,TRUE,8.179611174003233e-5,0.4632849407517853
1121,JSTOR,278457,864114,FALSE,TRUE,0,1.388705656892493e-5
374,Walter de Gruyter GmbH,200776,1871626,TRUE,TRUE,0,0.004768580902381138
78,Elsevier BV,116099,1277288,TRUE,TRUE,0.7234084703571952,0.5852282335698762
3821,Nomos Verlag,58538,185251,TRUE,TRUE,3.758242509139362e-4,7.017505978375284e-5
56,Cambridge University Press (CUP),46236,548280,TRUE,TRUE,0.1075568820832252,0.2532848179762165
2918,Edward Elgar Publishing,27689,103974,TRUE,TRUE,0,0
2432,IGI Global,26935,97136,TRUE,TRUE,0.9952478188230925,0.7560533684730687
50,Brill,25640,402071,TRUE,TRUE,0.008970358814352574,0.003024341472028572
2984,Bloomsbury Academic,22827,137602,FALSE,TRUE,0,0.0775860815976512
1574,Atlantis Press SARL,22229,1961,TRUE,TRUE,0.5886004768545594,0.6144824069352371
5471,Transcript Verlag,19659,89874,TRUE,TRUE,0.3148176407752175,2.336604579744976e-4
165,Bristol University Press,19438,53460,TRUE,TRUE,0,0
7834,United Nations Publications,17778,126816,FALSE,FALSE,0,0
16089,Brill Deutschland GmbH,17023,95418,TRUE,TRUE,0.2847324208423897,0.1252803454274875
2399,OpenEdition,15188,191736,TRUE,TRUE,0.1129180932314986,0.1058643134309676
219,World Scientific Pub Co Pte Ltd,14207,133856,TRUE,TRUE,0,0.001763088692326082
9818,Atena Editora Edição de Livros Ltda,13395,43416,FALSE,FALSE,0,0
3774,IntechOpen,13226,66171,TRUE,TRUE,0.9996975654014819,0.3427181091414668
7832,NYU Press,12857,39693,FALSE,FALSE,0,0
6055,Verlag C.H.Beck oHG,12060,59797,FALSE,FALSE,0,0
140,Emerald,11227,36986,TRUE,TRUE,0.6151242540304623,0.7108365327421186
2273,CAIRN,10391,85167,TRUE,TRUE,0.2184582812048888,0.3208754564561391
11875,Even3,8945,3572,TRUE,TRUE,0,0
5164,Yale University Press,8706,77059,FALSE,FALSE,0,0
4694,Sciencedomain International,7939,5019,TRUE,TRUE,0,0
7437,IOS Press,7933,3003,TRUE,TRUE,0,0
408,University of California Press,7799,142241,TRUE,TRUE,0,6.327289600044994e-5
4359,Columbia University Press,7400,85511,FALSE,FALSE,0,0
194,Georg Thieme Verlag KG,6919,206898,TRUE,TRUE,0.1195259430553548,0.008516273719417298
281,MIT Press,6572,65103,TRUE,TRUE,0,0
24862,Editora Cientifica Digital,6548,4686,FALSE,TRUE,0,0.006402048655569782
20809,Rutgers University Press,6070,27409,FALSE,FALSE,0,0
4230,Manchester University Press,5979,46237,TRUE,TRUE,0,0
1963,Organisation for Economic Co-Operation and Development (OECD),5560,67735,FALSE,FALSE,0,0
965,Bentham Science Publishers Ltd.,5531,16272,TRUE,TRUE,0.379858976676912,0.006698623402163225
73,Duke University Press,4917,39405,TRUE,TRUE,0.7714053284523082,0.5170409846466184
12323,World Trade Organization,4720,12475,FALSE,FALSE,0,0
1697,Carl Hanser Verlag,4676,28546,TRUE,TRUE,0.02053036783575706,0.04081132207664822
1696,University of Toronto Press Inc. (UTPress),4495,98272,TRUE,TRUE,0,1.01758384890915e-5
19460,Haufe-Lexware GmbH and Co. KG,4056,9489,TRUE,FALSE,0.02071005917159763,0
7597,Brepols Publishers NV,3899,31574,TRUE,TRUE,0.03975378302128751,0
4802,Verlag Dr. Otto Schmidt,3757,20099,FALSE,TRUE,0,0
34671,Seven Events,3702,0,FALSE,FALSE,0,0
27363,AYA Editora,3367,579,FALSE,FALSE,0,0
2652,Harvard University Press,3274,91263,FALSE,FALSE,0,0
4434,Cornell University Press,3251,61436,FALSE,FALSE,0,0
793,Springer Publishing Company,3097,17940,TRUE,TRUE,0,0
179,SAGE Publications,2945,95019,TRUE,TRUE,0,0
38456,Editora Pasteur,2872,412,TRUE,FALSE,0.007311977715877437,0
16537,Pimenta Cultural,2860,2886,FALSE,FALSE,0,0
23658,Editora Conhecimento Livre,2849,4642,FALSE,FALSE,0,0
21860,Editora Poisson,2825,5626,FALSE,FALSE,0,0
250,EDP Sciences,2794,26527,TRUE,TRUE,0,0
4759,University of Pennsylvania Press,2784,50374,FALSE,FALSE,0,0
1931,Edinburgh University Press,2744,14429,TRUE,TRUE,0,0
266,IOP Publishing,2708,6650,TRUE,TRUE,0,0
28402,VDI Verlag GmbH,2688,9571,FALSE,FALSE,0,0
16987,Vervuert Verlag oHG,2651,28646,FALSE,FALSE,0,0
292,Royal Society of Chemistry (RSC),2645,26765,TRUE,TRUE,0.7062381852551985,0.25589389127592
11982,Publishing House Baltija Publishing,2553,2182,TRUE,TRUE,0,0
27115,Editora e-Publicar,2516,954,FALSE,FALSE,0,0
200,University of Chicago Press,2488,16330,TRUE,TRUE,0,0
29384,Editora Amplla,2476,621,FALSE,FALSE,0,0
3287,The Pennsylvania State University Press,2437,19114,TRUE,TRUE,0,0
6036,RWS Verlag GmbH,2342,6115,FALSE,TRUE,0,0
12270,Psychosozial-Verlag GmbH and Co. KG,2243,8377,TRUE,TRUE,0,0
9289,"Channel View Publications, Ltd.",2241,15639,FALSE,FALSE,0,0
28043,Editora Dialetica,2204,606,FALSE,FALSE,0,0
31705,Brill Osterreich GmbH,2135,19621,TRUE,TRUE,0.4276346604215457,0.276489475561898
36593,Frank & Timme GmbH,2088,9,TRUE,TRUE,0.2346743295019157,0.888888888888889
23521,Erich Schmidt Verlag GmbH & Co. KG,2041,0,TRUE,FALSE,0.212640862322391,0
1757,John Benjamins Publishing Company,1940,39326,TRUE,TRUE,0.9824742268041237,0.2695163505060265
242,CABI Publishing,1937,21546,TRUE,TRUE,0.7062467733608673,0
16613,Realize Eventos Cientificos e Editora LTDA,1914,599,FALSE,FALSE,0,0
15,American Psychological Association (APA),1899,26458,TRUE,TRUE,0,0
265,Institution of Engineering and Technology (IET),1845,11499,TRUE,TRUE,0,0
33854,Scientia Solucoes Digitais LTDA,1832,0,FALSE,FALSE,0,0
4442,University of Texas Press,1790,42065,FALSE,TRUE,0,0
37787,Özgür Yayınları,1744,0,FALSE,FALSE,0,0
26354,Rfb Editora,1685,1383,FALSE,FALSE,0,0
23025,Editora Inovar,1683,251,FALSE,FALSE,0,0
3948,GN1 Sistemas e Publicacoes Ltd.,1653,796,FALSE,TRUE,0,0
530,FapUNIFESP (SciELO),1633,10738,TRUE,TRUE,0.4825474586650337,0.4146954740175079
3180,Amsterdam University Press,1625,2942,TRUE,TRUE,0,0.2059823249490143
28327,Arco Editores,1617,803,FALSE,FALSE,0,0
5425,University Press of Mississippi,1557,5274,FALSE,FALSE,0,0
