id,primary_name,count_current_type,count_backfile_type,deposits_references_current,deposits_references_backfile,references_current_type,references_backfile_type
78,Elsevier BV,3231593,20513262,TRUE,TRUE,0.7458983850998563,0.6947459648299719
297,Springer Science and Business Media LLC,2211329,15495785,TRUE,TRUE,0.8756458220373359,0.6917680517637538
286,Oxford University Press (OUP),2175187,5001256,TRUE,TRUE,0.08898085543909558,0.248556562591477
311,Wiley,1008006,10610148,TRUE,TRUE,0.6645297746243574,0.6512737616855109
263,Institute of Electrical and Electronics Engineers (IEEE),931677,4699871,TRUE,TRUE,0.8646709106267515,0.826986527928107
301,Informa UK Limited,821162,7038603,TRUE,TRUE,0.4297069275002984,0.577726432361649
1968,MDPI AG,762024,1070962,TRUE,TRUE,0.8990373006624462,0.9403881743703325
374,Walter de Gruyter GmbH,375203,4312092,TRUE,TRUE,0.2094652761305213,0.09009246555964019
1086,American Association for Cancer Research (AACR),358325,174864,TRUE,TRUE,0.01363287518314379,0.3026980968066612
1121,JSTOR,340549,2693420,FALSE,TRUE,0,0.001634724625197704
276,Ovid Technologies (Wolters Kluwer Health),247017,2609971,TRUE,TRUE,0.6080877024658222,0.4210414598476382
179,SAGE Publications,240961,3113928,TRUE,TRUE,0.8170450819842215,0.5181860338453554
316,American Chemical Society (ACS),230331,1856903,TRUE,TRUE,0.8249909912256709,0.523778032562821
1965,Frontiers Media SA,218113,486853,TRUE,TRUE,0.9366933653656591,0.7830186935276151
292,Royal Society of Chemistry (RSC),192447,785011,TRUE,TRUE,0.5387509288271576,0.6027495156118831
3145,Copernicus GmbH,152437,326599,TRUE,TRUE,0.0689596357839632,0.2149700397123078
56,Cambridge University Press (CUP),149707,2370584,TRUE,TRUE,0.3548063884788286,0.3634412448578072
246,Cold Spring Harbor Laboratory,145062,257667,TRUE,TRUE,0.9536956611655706,0.9259509366740794
266,IOP Publishing,133941,1095600,TRUE,TRUE,0.8769458194279571,0.8677692588535962
9060,Egyptian Knowledge Bank,126151,290704,TRUE,TRUE,0.00619099333338618,0.01252820738620728
10523,Schwabe Verlagsgruppe AG,113300,6319,FALSE,FALSE,0,0
317,AIP Publishing,107347,878892,TRUE,TRUE,0.9486338696004546,0.762273407881742
3821,Nomos Verlag,103909,403821,TRUE,TRUE,1.154856653417895e-4,0.001309986355340609
320,Association for Computing Machinery (ACM),103711,610478,TRUE,TRUE,0.9493207085072943,0.7376645841455384
5303,Electronic Enlightenment Project,90580,249,FALSE,FALSE,0,0
194,Georg Thieme Verlag KG,86312,992620,TRUE,TRUE,0.51371767541014,0.06573714009389293
140,Emerald,83668,575758,TRUE,TRUE,0.7440957116221255,0.5674345818903082
