id,primary_name,count_current_type,count_backfile_type,deposits_references_current,deposits_references_backfile,references_current_type,references_backfile_type
78,Elsevier BV,2832189,20021895,TRUE,TRUE,0.8016209370207991,0.7077147792454211
297,Springer Science and Business Media LLC,1457008,9693733,TRUE,TRUE,0.9192976291139102,0.7567721330884603
311,Wiley,784310,9395598,TRUE,TRUE,0.857418622738458,0.7072086311057582
1968,MDPI AG,643940,1319320,TRUE,TRUE,0.9932338416622667,0.9741495618955219
301,Informa UK Limited,413852,4944952,TRUE,TRUE,0.8969510839623827,0.6659540881286613
286,Oxford University Press (OUP),298263,3799419,TRUE,TRUE,0.5308838173021796,0.3365082924520828
263,Institute of Electrical and Electronics Engineers (IEEE),294654,1443616,TRUE,TRUE,0.8304621691882683,0.7381048699931284
276,Ovid Technologies (Wolters Kluwer Health),282225,2679345,TRUE,TRUE,0.6553990610328638,0.4358509262524983
179,SAGE Publications,248472,3169929,TRUE,TRUE,0.8877780997456454,0.5888765962896961
1965,Frontiers Media SA,217178,570448,TRUE,TRUE,0.9610365690815827,0.8219592320421844
316,American Chemical Society (ACS),216552,1874040,TRUE,TRUE,0.9298736562119029,0.554043136752684
9060,Egyptian Knowledge Bank,137975,345508,TRUE,TRUE,0.001993114694691067,0.01203734790511363
266,IOP Publishing,123327,1132065,TRUE,TRUE,0.9516650855043908,0.8830376347647882
292,Royal Society of Chemistry (RSC),118592,784993,TRUE,TRUE,0.8676807879114949,0.6335814459491995
374,Walter de Gruyter GmbH,94309,1315525,TRUE,TRUE,0.6996681122692426,0.2631907413390091
56,Cambridge University Press (CUP),71610,1655715,TRUE,TRUE,0.5949029465158497,0.437348819090242
30764,Brazilian Journals,68237,39911,TRUE,TRUE,0.4071837859225933,0.1900228007316279
2273,CAIRN.INFO,66181,517667,TRUE,TRUE,0.2270440156540397,0.2192683713661485
16,American Physical Society (APS),62869,746424,TRUE,TRUE,0.9466668787478726,0.9720239434959219
140,Emerald,62776,489076,TRUE,TRUE,0.9637441060277813,0.6492446981655203
194,Georg Thieme Verlag KG,60950,728297,TRUE,TRUE,0.6657095980311731,0.1050478033000273
340,Public Library of Science (PLoS),60185,351149,TRUE,TRUE,0.9997009221566836,0.9338514419804698
17914,Publishing House Helvetica (Publications),57403,66890,TRUE,TRUE,0.1666986046025469,0.1729406488264315
250,EDP Sciences,53618,339525,TRUE,TRUE,0.9614495132231713,0.6299271040424121
317,AIP Publishing,50101,671744,TRUE,TRUE,0.9568072493563003,0.9010575457317073
239,BMJ,49481,875344,TRUE,TRUE,0.9559831046260181,0.3754478239412163
23359,Omniscient Pte Ltd,48911,25841,FALSE,FALSE,0,0
530,FapUNIFESP (SciELO),44670,448694,TRUE,TRUE,0.95681665547347206,0.7812941559280935
19162,Comprehensive Publications,42721,16231,FALSE,FALSE,0,0
137,Pleiades Publishing Ltd,42128,333321,TRUE,TRUE,0.983241549563236,0.9362776422727641
1086,American Association for Cancer Research (AACR),40064,187412,TRUE,TRUE,0.1217801517571885,0.2928521119245299
147,Project MUSE,38090,498427,TRUE,TRUE,2.625360987135731e-4,0.01537637407283313
